"Run one: Time (s)","Run one: Temperature (°C)","Run one: Temperature 2 (°C)"
0,51.0866235515,51.6786387374
1,51.0266589563,51.5858171198
2,50.9967018175,51.6180020133
3,50.9967018175,51.4931585806
4,50.8135781376,51.3704941529
5,50.8751726178,50.9125369446
6,50.8751726178,51.0959990931
7,50.8434333299,50.8807756123
8,50.8751726178,50.9424471186
9,50.8751726178,50.9125369446
10,50.8135781376,50.8807756123
11,50.7520539657,50.8508997143
12,50.8434333299,50.8807756123
13,50.9050620018,51.0341508587
14,50.8434333299,50.7911975916
15,50.7222492876,50.6087693888
16,50.6626891851,50.5177851484
17,50.6013363837,50.3658654069
18,50.5716145446,50.5790434782
19,50.510364587,50.2771326122
20,50.4195447318,50.0964147003
21,50.2697447048,49.9768773852
22,50.4195447318,50.1258790876
23,50.4195447318,50.0356941459
24,50.3899220226,49.9768773852
25,50.4806924619,49.9456564373
26,50.3307247879,49.9768773852
27,50.5716145446,50.0062779318
28,50.4195447318,49.9162881086
29,50.510364587,49.9456564373
30,50.2402030354,49.7678493084
31,50.2402030354,49.70748777
32,50.1793235637,49.678245104
33,50.1498305294,49.6179804834
34,50.2106772789,49.4994671422
35,50.0596063775,49.4102916768
36,49.7605292698,49.1436092107
37,49.8795995952,49.2323635487
38,50.0301774109,49.3503143588
39,50.0007641368,49.2922154597
40,49.940148688,49.2631884314
41,49.9107832817,49.1436092107
42,50.0301774109,49.3503143588
43,50.0890510675,49.2323635487
44,50.1498305294,49.3212574258
45,49.8502662654,49.0857221176
46,49.8209484412,49.0857221176
47,49.8209484412,49.0260877694
48,49.7916460925,48.9971966296
49,49.6727638115,48.9683201342
50,49.6125051059,48.8493587745
51,49.5231497485,48.7629964964
52,49.6727638115,48.9088084912
53,49.6417133241,48.8493587745
54,49.6727638115,48.8205568868
55,49.6417133241,48.8799766678
56,49.6417133241,48.9088084912
57,49.6727638115,48.8493587745
58,49.6417133241,48.8799766678
59,49.5231497485,48.7324410057
60,49.4648720845,48.6749688158
61,49.5231497485,48.7036977321
62,49.4339366764,48.6444600423
63,49.4940033459,48.6749688158
64,49.2577475242,48.5279574249
65,49.0224755751,48.23683046
66,49.226925608,48.3831047271
67,49.3158109179,48.5279574249
68,49.3757514758,48.5566131964
69,49.2867717549,48.5279574249
70,49.2577475242,48.4993158409
71,49.3158109179,48.5566131964
72,49.3158109179,48.4706884168
73,49.4048365506,48.5870755297
74,49.3158109179,48.7036977321
75,49.1979320836,48.3831047271
76,49.1689534028,48.3831047271
77,49.1399895366,48.3241940909
78,49.1689534028,48.2956527991
79,49.0224755751,48.2083318518
80,49.0513795522,48.2671254727
81,48.991781172,48.0926987322
82,48.8169576689,48.0056795205
83,48.991781172,48.1211411092
84,48.9629074194,48.0624937979
85,48.9629074194,48.0926987322
86,48.9340482774,48.0624937979
87,48.9629074194,48.1211411092
88,49.0224755751,48.0624937979
89,49.0513795522,48.2671254727
90,49.0513795522,48.2956527991
91,49.0513795522,48.0624937979
92,48.8745723193,47.9772929332
93,48.8745723193,47.9772929332
94,48.8169576689,48.0340797998
95,48.8169576689,47.9772929332
96,48.7863734382,47.9772929332
97,48.7288473103,47.9187887261
98,48.5530304481,47.7754324928
99,48.5530304481,47.8037222886
100,48.436711704,47.6588792654
101,48.436711704,47.6888787246
102,48.6695837401,47.8037222886
103,48.6408718368,47.7453893521
104,48.61217423,47.7754324928
105,48.6695837401,47.7453893521
106,48.61217423,47.6888787246
107,48.61217423,47.7754324928
108,48.5816986563,47.7171273262
109,48.6695837401,47.7453893521
110,48.61217423,47.8037222886
111,48.61217423,47.8603424191
112,48.7576031694,47.9471471571
113,48.7288473103,47.7754324928
