"Remote Data: Time (s)","Remote Data: Temperature (°C)","Remote Data: Temperature 2 (°C)"
0,50.0007641368,51.0041895326
1,49.9107832817,50.9723739613
2,49.8795995952,50.9424471186
3,49.8209484412,50.8807756123
4,49.7605292698,50.759507706
5,49.7312587439,50.6682701601
6,49.6727638115,50.6087693888
7,49.6125051059,50.5177851484
8,49.5523113219,50.4881089761
9,49.5231497485,50.3658654069
10,49.4648720845,50.3066942167
11,49.4339366764,50.1866992974
12,49.3757514758,50.0964147003
13,49.3158109179,50.0062779318
14,49.2867717549,49.9162881086
15,49.226925608,49.8264443535
16,49.1689534028,49.7678493084
17,49.1399895366,49.678245104
18,49.0802982273,49.6179804834
19,49.0513795522,49.528616387
20,48.9340482774,49.439394628
21,48.8457577462,49.3503143588
22,48.7863734382,49.2631884314
23,48.7288473103,49.2033672379
24,48.6695837401,49.1436092107
25,48.61217423,49.0857221176
26,48.5816986563,48.9971966296
27,48.5816986563,48.9376548721
28,48.495736639,48.8799766678
29,48.4653223489,48.8205568868
30,48.4653223489,48.7629964964
31,48.436711704,48.7036977321
32,48.3777467488,48.6749688158
33,48.3491791986,48.5870755297
34,48.2920861201,48.5279574249
35,48.2920861201,48.4993158409
36,48.2332673739,48.440287263
37,48.2047705025,48.3831047271
38,48.1460395088,48.3527493753
39,48.1175850579,48.2956527991
40,48.089144404,48.2083318518
41,48.0589412969,48.1495972866
42,48.0305290152,48.1211411092
43,48.0305290152,48.0624937979
44,48.0021304488,48.0340797998
45,47.943601608,47.9772929332
46,47.9152448798,47.9471471571
47,47.8869017594,47.9187887261
48,47.8585722203,47.8904439061
49,47.8284869367,47.8037222886
50,47.8001853261,47.7754324928
51,47.8001853261,47.7453893521
52,47.7418558639,47.6888787246
53,47.7135955174,47.6588792654
54,47.685348592,47.6306582693
55,47.685348592,47.5724945815
56,47.6571150617,47.5443143724
57,47.6271315836,47.516147429
58,47.5989255986,47.4580948947
59,47.5707329293,47.4299684184
60,47.54255355,47.4018551038
61,47.5126274926,47.3719990999
62,47.4844754426,47.315839686
63,47.4563366039,47.315839686
64,47.4264535348,47.2579799963
65,47.4264535348,47.2299467433
66,47.3702433255,47.2019264714
67,47.3702433255,47.1441755507
68,47.3421578951,47.1161948777
69,47.3123314591,47.0864795242
70,47.3123314591,47.0585253877
71,47.2562275372,47.0305840792
72,47.2281950962,46.9729955378
73,47.2281950962,46.9729955378
74,47.1984248489,46.9172039113
75,47.1704191509,46.8875852889
76,47.1424263808,46.8597220118
77,47.1126981997,46.8318713867
78,47.1126981997,46.8040333891
79,47.0847320144,46.7744693254
80,47.0567786803,46.7466572949
81,47.0567786803,46.6893345989
82,47.0288381728,46.6615609345
83,46.9991654098,46.6337997485
84,46.9712512784,46.6337997485
85,46.9433498976,46.5488584874
86,46.9433498976,46.5488584874
87,46.885843463,46.5211477468
88,46.885843463,46.4917186235
89,46.8579809773,46.4640333419
90,46.8579809773,46.4363603674
91,46.8301311421,46.4069712903
92,46.8005545261,46.379323624
93,46.7727307052,46.3516881918
94,46.7727307052,46.3223389237
95,46.74491946,46.2947286497
96,46.717120766,46.2671305374
97,46.6875983789,46.2395445632
98,46.6875983789,46.210247739
99,46.6598254951,46.210247739
100,46.6598254951,46.1826867253
101,46.6320650882,46.1551377777
102,46.6320650882,46.0983560804
103,46.5748485502,46.0708439398
104,46.5748485502,46.0708439398
105,46.5471262037,46.0433437705
106,46.5194162361,46.0141379316
107,46.5194162361,45.9866623796
108,46.5194162361,45.959198728
109,46.4899879323,45.9300316114
